"first_day_of_week","all_swabs","all_positives","ct_lt_30","has_sequence_lt_30"
"DateObject[{2023, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",76579.,2551.,1676.,1475.
"DateObject[{2023, 1, 8, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",74632.,1584.,898.,661.
"DateObject[{2023, 1, 15, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",69628.,1059.,592.,436.
"DateObject[{2023, 1, 22, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",71270.,1071.,678.,583.
"DateObject[{2023, 1, 29, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",71549.,1293.,901.,856.
"DateObject[{2023, 2, 5, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",74676.,1586.,1091.,1040.
"DateObject[{2023, 2, 12, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",71717.,1607.,1111.,982.
"DateObject[{2023, 2, 19, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",73028.,1786.,1273.,566.
"DateObject[{2023, 2, 26, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",61006.,1389.,1000.,0.
"DateObject[{2023, 3, 5, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",22308.,588.,413.,0.
"DateObject[{2023, 3, 12, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",1903.,58.,38.,0.
